property_id,destination,property_type,nr_rooms,facilities
2668,Brisbane,Hotel,32,"airport shuttle,free wifi,garden,breakfast,pool,on-site restaurant"
4656,Brisbane,Hotel,39,"on-site restaurant,pool,airport shuttle,breakfast,bbq,free wifi,spa"
4563,Brisbane,Apartment,9,laundry
4088,Brisbane,Apartment,9,"kitchen,laundry,free wifi"
2188,Brisbane,Apartment,4,"parking,kitchen,bbq,free wifi,game console"
4171,Brisbane,Apartment,5,"kitchen,pool,laundry,parking,free wifi,garden"
2907,Brisbane,Hotel,22,"airport shuttle,on-site restaurant,breakfast,bbq,free wifi,pool,parking,spa"
5141,Brisbane,Hotel,20,"breakfast,free wifi,on-site restaurant,garden,airport shuttle,pool,bbq,parking"
1696,Brisbane,Apartment,5,"free wifi,laundry,pool,game console,parking,garden"
1901,Brisbane,Apartment,11,"free wifi,bbq,laundry,breakfast,pool,parking,garden,kitchen"
2307,Brisbane,Hotel,22,"airport shuttle,bbq,free wifi,garden"
2870,Brisbane,Hotel,21,"free wifi,breakfast"
1674,Brisbane,Apartment,13,"pool,free wifi,game console,bbq,breakfast"
2885,Brisbane,Apartment,4,"bbq,free wifi,laundry,kitchen,breakfast,garden"
3584,Brisbane,Apartment,5,"kitchen,bbq,parking,free wifi,laundry,pool,garden"
4420,Brisbane,Apartment,12,"free wifi,bbq,garden"
3449,Brisbane,Apartment,6,"parking,free wifi,kitchen,garden,laundry"
2987,Brisbane,Hotel,38,"on-site restaurant,bbq,free wifi"
4177,Brisbane,Hotel,31,"spa,pool"
1951,Brisbane,Hotel,39,"airport shuttle,free wifi,pool,breakfast,bbq"
1981,Brisbane,Hotel,28,"airport shuttle,free wifi"
3089,Brisbane,Hotel,45,"breakfast,free wifi,bbq"
1686,Brisbane,Apartment,10,"free wifi,game console,parking,pool,garden"
1824,Brisbane,Hotel,22,"free wifi,pool,airport shuttle,on-site restaurant,breakfast,bbq"
3268,Brisbane,Apartment,10,"garden,parking,game console,laundry,free wifi"
3871,Brisbane,Apartment,NA,"parking,kitchen,free wifi,bbq"
1787,Brisbane,Hotel,21,bbq
3448,Brisbane,Apartment,7,"free wifi,kitchen"
4014,Brisbane,Apartment,7,"breakfast,bbq,parking,pool,kitchen,laundry,game console,free wifi"
4664,Brisbane,Hotel,NA,"breakfast,garden,airport shuttle"
2575,Brisbane,Apartment,NA,"kitchen,garden,pool,bbq"
1417,Brisbane,Apartment,7,"kitchen,pool"
1061,Brisbane,Apartment,8,"free wifi,game console"
4178,Brisbane,Apartment,11,"kitchen,parking"
2023,Brisbane,Hotel,31,"free wifi,airport shuttle,on-site restaurant,pool"
3852,Brisbane,Hotel,18,"breakfast,airport shuttle,garden,bbq"
1172,Brisbane,Hotel,25,"breakfast,on-site restaurant,spa"
2558,Brisbane,Apartment,5,free wifi
3240,Brisbane,Hotel,40,"free wifi,garden"
4277,Brisbane,Hotel,26,"bbq,free wifi,airport shuttle,garden"
1166,Brisbane,Apartment,3,"pool,kitchen,laundry,breakfast,free wifi,garden,bbq"
2012,Brisbane,Apartment,6,"laundry,kitchen,parking"
3642,Brisbane,Apartment,NA,"kitchen,free wifi,laundry"
1836,Brisbane,Hotel,25,"free wifi,parking,pool,on-site restaurant,breakfast,spa"
1216,Brisbane,Apartment,5,"free wifi,parking,kitchen,bbq"
3967,Brisbane,Hotel,25,"bbq,spa"
2799,Brisbane,Apartment,9,laundry
